about     	(2,8)  ; (9,1)  
afternoon 	(1,55) 
al-sakhar 	(8,91) 
among     	(6,50) 
another   	(7,4)  
area      	(6,56) ; (8,101)
attacked  	(8,38) 
attending 	(5,63) 
baghdad   	(2,54) ; (9,41) 
bombing   	(1,78) ; (4,5)  
checkpoint	(8,53) 
citizens  	(5,49) 
city      	(2,3)  
cnn       	(2,109)
councils  	(5,36) 
during    	(4,22) 
efforts   	(6,42) 
four      	(8,1)  
friday    	(1,48) ; (8,64) 
from      	(3,47) 
gathering 	(4,44) ; (6,5)  
gunmen    	(8,31) 
happened  	(4,13) 
has       	(2,105); (3,27) 
home      	(5,89) 
incident  	(7,12) 
initial   	(3,31) 
interior  	(2,96) 
iraq      	(7,49) 
iraqi     	(3,56) 
its       	(3,52) 
jurf      	(8,86) 
killed    	(1,25) ; (3,91) ; (7,59) 
kilometers	(2,17) ; (9,10) 
least     	(1,4)  
luncheon  	(5,75) 
members   	(5,17) ; (7,26) 
miles     	(2,34) ; (9,25) 
military  	(3,10) 
ministry  	(2,84) ; (6,73) 
morning   	(8,71) 
official  	(2,66) ; (4,59) ; (6,82) ; (9,54) 
others    	(8,6)  
part      	(6,19) 
partners  	(3,62) 
people    	(1,13) ; (3,79) 
reconciliation	(6,27) 
reports   	(3,39) 
said      	(3,19) ; (4,68) ; (6,91) ; (9,63) 
sheikhs   	(5,8)  
sons      	(7,41) 
south     	(9,32) 
southwest 	(2,41) 
suicide   	(1,70) 
sunni     	(4,31) 
support   	(5,28) 
that      	(3,71) 
their     	(8,47) 
tribal    	(4,37) ; (5,1)  
tribes    	(6,61) 
two       	(7,22) 
u.s.      	(3,5)  
was       	(6,15) 
were      	(1,20) ; (3,86) ; (3,105); (5,58) ; (7,54) ; (8,13) 
when      	(8,26) 
with      	(2,75) 
wounded   	(1,40) ; (3,110); (8,18) 
yusifiya  	(1,89) 
